x,y,t1,t2,t3
0.90887845,0.9723467,-0.02352047,1.6852872,-2.5856726
-1.603698,-0.36632603,-2.3120208,-1.2099981,0.8424413
0.24159604,0.5918267,-0.062244892,2.490936,-0.27879763
1.6669436,0.6209602,0.8313048,-0.94943047,-0.61752844
-0.62898374,0.7926736,-3.0013158,-2.0806208,-1.2950372
1.2040799,1.0936332,0.11637592,1.2419822,1.8850272
-1.4675589,-0.49899632,-2.1298146,-1.3680469,1.1410801
-1.2428482,1.4323666,2.6087406,-0.6465404,2.3508909
1.8594189,-0.6580798,-0.50637245,0.33242488,2.8446376
-0.7955348,0.75861305,-2.9143624,-1.9777519,-0.7953422
0.4202909,0.056049526,-1.2245927,2.7143385,-2.0363164
-0.75356036,-0.5133203,-1.4461784,-2.1948438,-2.9422932
0.3873427,-0.20344108,-1.8338748,2.700507,1.4018366
-0.068667546,1.9919962,1.5226438,0.16522121,-1.6106428
0.12344873,-0.16731507,0.5315094,-2.9332886,-2.2700088
0.8862207,-0.6441368,-1.6195853,1.9821498,1.8419826
0.24070022,-1.9822278,-1.3932807,-0.11335611,2.0092394
-1.335565,-0.92352647,3.1231616,1.2468421,0.42440677
0.45689797,1.1137738,2.106395,-1.8497771,0.58541703
-0.8601663,0.34635597,-2.4356942,-2.1773944,-1.6228951
-0.7487644,1.4298468,1.4214861,1.2634242,-1.8609303
-0.31012332,1.2638576,0.9490974,1.7246463,-0.39652348
1.6543946,0.86953795,0.11995077,0.7279217,1.9489706
-0.16435277,0.6856951,3.0165389,-2.4209855,-1.1512986
-0.4375555,0.3028509,1.2346771,2.6029646,2.733837
-1.8999794,0.10836959,2.7720058,0.6252227,-2.7318745
0.85312665,-0.7094331,0.2890029,-1.9653972,-2.9278204
-0.48849106,-0.54944754,2.7912815,2.3887408,-3.1338265
1.8303142,0.6134652,0.5880184,-0.52923274,-0.5169842
1.1059954,-1.2191522,-1.4380857,1.2081187,-1.8607764
-0.51364684,1.3039572,1.1516807,1.5887287,2.248977
0.02994603,-0.011960626,1.1746767,-3.109345,-2.0379415
-0.6073145,1.7928095,1.5686443,0.6575396,-2.4507062
0.17576723,-0.060453117,-1.8089904,2.9554513,2.116861
-0.35648608,-1.8109739,-1.3698134,-0.79069114,-2.9926753
0.2461527,-0.71531135,-0.056467533,-2.3658044,-2.4232886
1.9408066,0.12193963,-0.17310047,0.4716947,-1.2865773
0.7097008,0.90966606,1.8641508,-1.911782,2.8505871
0.3295318,0.35909832,2.152933,-2.6492515,-0.78189325
1.8152378,0.70602334,0.14175701,0.45836186,0.745105
0.48075584,1.9322438,1.2328498,0.18818188,-1.5328734
0.12790975,-0.0025863647,1.4865673,-3.0135694,-1.862043
0.027703881,-1.4422827,-0.7864344,-1.5303118,-1.0990341
-1.8385347,-0.4354152,-2.5749176,-0.6682644,0.67153573
-1.0529301,-1.6927495,-2.0466402,-0.1612246,2.2489116
